MAIN_ID
V* CR Boo
V* CR Boo
V* CR Boo
SDSS J153817.33+512338.0
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
V* V392 Per
V* V392 Per
V* V392 Per
V* V392 Per
V* V392 Per
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
V* V1490 Cyg
V* V1490 Cyg
V* V1490 Cyg
V* V1490 Cyg
V* V1490 Cyg
V* YZ Cet
V* YZ Cet
V* TY Cas
V* TY Cas
V* FI Per
V* FI Per
V* CI Cyg
V* CT Lac
V* GK Per
V* GK Per
V* GK Per
V* GK Per
V* GK Per
V* EN Sgr
V* EN Sgr
EM* RJHA  101
EM* RJHA  101
V* V2525 Oph
V* V2525 Oph
SS 295
SS 295
V* LQ Peg
V* LQ Peg
V* UU Aqr
V* UU Aqr
V* V378 Peg
V* V378 Peg
ShAl  5
Mrk  421
NAME BL Lac
V* XZ Tau
V* XZ Tau
V* XZ Tau
V* HL Tau
V* HL Tau
V* HL Tau
V* V349 Vul
V* V349 Vul
V* RT Aql
V* RT Aql
V* V353 Vul
V* V353 Vul
V* V1301 Cyg
V* V1301 Cyg
V* SX Cyg
V* SX Cyg
V* AU Cyg
V* AU Cyg
V* V1655 Cyg
V* V1655 Cyg
V* V1659 Cyg
V* V1659 Cyg
V* DR Cyg
V* DR Cyg
V* V750 Cyg
V* V750 Cyg
V* W Cep
V* W Cep
V* AL Cep
V* AL Cep
V* VX Cep
V* VX Cep
V* FY Aql
V* V657 Cas
V* V657 Cas
V* V850 Cas
V* V850 Cas
V* V818 Sco
NOVA Sco 1863
NOVA Sco 1863
NOVA Sco 1863
NOVA Sco 1863
NOVA Sco 1863
V* R Aqr
V* T Peg
MASTER OT J105123.02+672528.3
MASTER OT J105123.02+672528.3
V* V386 Ser
V* V386 Ser
KOI-6295
KOI-6295
KOI-6295
