"name"                         ,"ra"          ,"dec"         ,"alt"                 ,"az"
"NQ Vul"                       ,"292.30833333","20.46638889" ,"-8.377022876622988"  ,"44.91825098286283"
"PU Vul"                       ,"305.30416667","21.57166667" ,"51.957553885023046"  ,"235.89184435346868"
"PW Vul"                       ,"291.52083333","27.36583333" ,"3.2001694495983677"  ,"50.399615660452305"
"QU Vul"                       ,"306.69166667","27.84527778" ,"66.77148872047808"   ,"208.93619767998635"
"VW Vul"                       ,"314.43750000","25.50694444" ,"10.632810503305679"  ,"63.136015148088724"
"BM And"                       ,"354.40833333","48.40333333" ,"78.97584057660697"   ,"273.22335589599925"
"FG Aql"                       ,"285.59166667","-4.39472222" ,"30.175561314013105"  ,"143.5120031498404"
"FH Aql"                       ,"285.59583333","-4.39000000" ,"30.155503734988418"  ,"143.4435432866228"
"V0536 Aql"                    ,"294.73750000","10.50444444" ,"-29.596943911884434" ,"13.342511282172943"
"RW Aur"                       ,"76.95416667" ,"30.40138889" ,"-3.4833107449708267" ,"32.56234480828478"
"UY Aur"                       ,"72.94583333" ,"30.78694444" ,"28.10364760551114"   ,"74.32786612300309"
"DG Aur"                       ,"75.38750000" ,"32.56722222" ,"8.447302286266341"   ,"48.803394178868565"
"GM Aur"                       ,"73.79166667" ,"30.36638889" ,"19.979147954093538"  ,"66.31737153940092"
"GZ Aur"                       ,"75.01250000" ,"30.01888889" ,"9.297807365970232"   ,"54.24088095287192"
"HO Aur"                       ,"76.94166667" ,"31.33833333" ,"-2.562766997427392"  ,"32.324600638266915"
"PS Aur"                       ,"77.76250000" ,"32.30166667" ,"-5.359114469802329"  ,"22.17803122266125"
"V0347 Aur"                    ,"74.23750000" ,"51.51416667" ,"30.98302836869495"   ,"45.49694100360757"
"V0372 Aur"                    ,"88.67500000" ,"41.87000000" ,"59.61944816648824"   ,"272.8272588683582"
"VX Cas"                       ,"7.87500000"  ,"61.98055556" ,"21.06103042370569"   ,"357.341459042554"
"MQ Cas"                       ,"2.40416667"  ,"58.21944444" ,"34.229810355048485"  ,"38.32431572056008"
"NX Cas"                       ,"9.74583333"  ,"59.46333333" ,"21.813505018626472"  ,"342.490730445598"
"V0519 Cas"                    ,"44.19583333" ,"63.45472222" ,"74.53687340702068"   ,"17.09331057785333"
"V0545 Cas"                    ,"5.06666667"  ,"59.38694444" ,"22.466302100087624"  ,"19.29260293030529"
"V0594 Cas"                    ,"10.82500000" ,"61.91111111" ,"27.733216790134644"  ,"336.12648788027906"
"V0628 Cas"                    ,"349.35416667","60.84527778" ,"40.1663359011095"    ,"320.4396072184304"
"V0642 Cas"                    ,"3.76666667"  ,"63.84388889" ,"31.13942707734791"   ,"25.3831997744454"
"NSV 87"                       ,"3.23333333"  ,"63.77500000" ,"33.46832418157757"   ,"28.52108734200716"
"NSV 93"                       ,"3.46250000"  ,"63.75750000" ,"32.40117131383861"   ,"27.232365837313335"
"SV Cep"                       ,"335.38750000","73.67416667" ,"55.29309363233749"   ,"24.743689872919976"
"YZ Cep"                       ,"334.50416667","57.28805556" ,"62.48819212151293"   ,"55.41218889776267"
"BG Cep"                       ,"330.12500000","68.47277778" ,"67.95139105563393"   ,"339.5300896598901"
"BH Cep"                       ,"330.42500000","69.74333333" ,"67.79898834863823"   ,"344.94916317500326"
"BO Cep"                       ,"334.22500000","70.06250000" ,"61.58155325113561"   ,"27.754828411758552"
"BS Cep"                       ,"337.27083333","65.24472222" ,"44.704123902190744"  ,"36.00665680376489"
"DI Cep"                       ,"344.04583333","58.66694444" ,"17.859253066560086"  ,"355.7210592945098"
"DZ Cep"                       ,"326.23750000","58.58000000" ,"45.04708662572102"   ,"313.53451225141305"
"EH Cep"                       ,"315.85000000","67.98500000" ,"33.98218020690327"   ,"21.758837335977045"
